Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.inspectionrecord$InspectionRecord.browse        73.0          73          73         0.0           1
PersistenceSecurity.applyConstraints(..)                 0.3           0           4         0.9          20
PersistenceSecurity.restoreFilteredData(..)              0.0           0           0         0.0           1
QueryParser.getEntityAlias()                             0.0           0           0         0.0          18
QueryParser.getEntityName()                              0.0           0           0         0.0          52
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          32
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          32
QueryParser.getParamNames()                              0.0           0           0         0.0          52
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0          26
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          21

Performance Statistics   2017-10-25 21:35:00 - 2017-10-25 21:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0          10
MenuItem.inspectionrecord$DefectType.browse            177.5         174         181         3.5           2
MenuItem.inspectionrecord$Employee.browse              174.0         174         174         0.0           1
MenuItem.inspectionrecord$InspectionRecord.browse       126.0          61         191        65.0           2
PersistenceSecurity.applyConstraints(..)                 0.1           0           1         0.3          26
QueryParser.getEntityAlias()                             0.0           0           0         0.0          21
QueryParser.getEntityName()                              0.0           0           0         0.0          62
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          36
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          36
QueryParser.getParamNames()                              0.0           0           0         0.0          62
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0          27
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          26
ViewRepository.init.ViewRepositoryClientImpl             9.0           9           9         0.0           1
ViewRepository.init.ViewRepositoryImpl                  13.0          13          13         0.0           1

Performance Statistics   2017-10-25 21:36:00 - 2017-10-25 21:37:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           2
PersistenceSecurity.applyConstraints(..)                 0.0           0           0         0.0           5
QueryParser.getEntityAlias()                             0.0           0           0         0.0           2
QueryParser.getEntityName()                              0.0           0           0         0.0          12
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           7
